Gene	Symbol
LAMP3	LAMP3
MCF2L2	MCF2L2
MAP6D1	MAP6D1
CAMK2N2	CAMK2N2
EIF4G1	EIF4G1
POLR2H	POLR2H
IGF2BP2	IGF2BP2
ETV5	ETV5
DGKG	DGKG
RFC4	RFC4
LINC01991	LINC01991
TPRG1	TPRG1
TP63	TP63
CLDN1	CLDN1
OSTN-AS1	OSTN-AS1
CCDC50	CCDC50
HES1	HES1
ATP13A3	ATP13A3
FAM43A	FAM43A
MUC20	MUC20
TFRC	TFRC
ZDHHC19	ZDHHC19
TM4SF19-AS1	TM4SF19-AS1
TM4SF19	TM4SF19
PIGZ	PIGZ
IQCG	DRC9
LMLN	LMLN
SLC49A3	SLC49A3
NAT8L	NAT8L
TNIP2	TNIP2
SH3BP2	SH3BP2
MFSD10	SLC75A1
NOP14	NOP14
RGS12	RGS12
DOK7	DOK7
ADRA2C	ADRA2C
LYAR	LYAR
NSG1	NSG1
MSX1	MSX1
CYTL1	CYTL1
C4orf50	C4orf50
WFS1	WFS1
S100P	S100P
KIAA0232	KIAA0232
CLNK	CLNK
LINC02498	LINC02498
LINC00504	LINC00504
MIR3945HG	MIR3945HG
BASP1-AS1	BASP1-AS1
LINC02100	LINC02100
RAI14	RAI14
BRIX1	BRIX1
IL7R	IL7R
SLC1A3	SLC1A3
DAB2	DAB2
PTGER4	PTGER4
CCDC152	CCDC152
ANXA2R	ANXA2R
HMGCS1	HMGCS1
ITGA1	ITGA1
ITGA2	ITGA2
FST	FST
GZMK	GZMK
GZMA	GZMA
CDC20B	CDC20B
LINC01948	LINC01948
PLK2	PLK2
DEPDC1B	DEPDC1B
NDUFAF2	NDUFAF2
ADAMTS6	ADAMTS6
CENPK	CENPK
CD180	CD180
CCNB1	CCNB1
CENPH	CENPH
MAP1B	MAP1B
ZNF366	ZNF366
ARHGEF28	ARHGEF28
ENC1	ENC1
HEXB	HEXB
IQGAP2	IQGAP2
F2R	F2R
S100Z	S100Z
LHFPL2	LHFPL2
CMYA5	CMYA5
ZFYVE16	ZFYVE16
DHFR	DHFR
VCAN	VCAN
MEF2C	MEF2C
POLR3G	POLR3G
KIAA0825	KIAA0825
MCTP1	MCTP1
RHOBTB3	RHOBTB3
GLRX	GLRX
ELL2	ELL2
MIR583HG	CAST
ERAP2	ERAP2
SLCO4C1	SLCO4C1
NUDT12	NUDT12
EFNA5	EFNA5
STARD4	STARD4
EPB41L4A	EPB41L4A
CCDC112	CCDC112
DMXL1	DMXL1
TNFAIP8	TNFAIP8
ZNF608	ZNF608
LMNB1	LMNB1
MEIKIN	MEIKIN
ACSL6	ACSL6
IL3	IL3
CSF2	CSF2
PDLIM4	PDLIM4
IL5	IL5
RAD50	RAD50
IL13	IL13
IL4	IL4
CCNI2	CCNI2
SEPTIN8	SEPTIN8
UQCRQ	UQCRQ
HSPA4	HSPA4
VDAC1	VDAC1
IL9	IL9
TGFBI	TGFBI
MYOT	MYOT
FAM13B	FAM13B
GFRA3	GFRA3
CDC25C	CDC25C
EGR1	EGR1
ETF1	ETF1
HSPA9	HSPA9
CTNNA1	CTNNA1
SNHG4	SNHG4
ECSCR	ECSCR
TMEM173	STING1
CXXC5	CXXC5
HBEGF	HBEGF
CD14	CD14
PCDHB5	PCDHB5
GNPDA1	GNPDA1
SPRY4-AS1	SPRY4-AS1
ARHGAP26	ARHGAP26
ARHGAP26-AS1	ARHGAP26-AS1
KCTD16	KCTD16
SH3RF2	SH3RF2
TCERG1	TCERG1
GPR151	GPR151
DPYSL3	DPYSL3
JAKMIP2	JAKMIP2
SPINK1	SPINK1
FBXO38	FBXO38
TIGD6	TIGD6
CSF1R	CSF1R
CD74	CD74
SYNPO	SYNPO
GPX3	GPX3
TNIP1	TNIP1
ANXA6	ANXA6
GM2A	GM2A
SLC36A1	SLC36A1
SPARC	SPARC
GLRA1	GLRA1
MFAP3	MFAP3
TIMD4	TIMD4
HAVCR2	HAVCR2
FNDC9	FNDC9
ADAM19	ADAM19
NIPAL4	NIPAL4
RNF145	RNF145
IL12B	IL12B
PTTG1	PTTG1
HMMR	HMMR
RARS	RARS1
LINC01366	LINC01366
NPM1	NPM1
ERGIC1	ERGIC1
RPL26L1	RPL26L1
STC2	STC2
CPEB4	CPEB4
SFXN1	SFXN1
HRH2	HRH2
NOP16	NOP16
CDHR2	CDHR2
HK3	HK3
ZNF346-IT1	ZNF346-IT1
PRELID1	PRELID1
DBN1	DBN1
NHP2	NHP2
HNRNPAB	HNRNPAB
GRM6	GRM6
ADAMTS2	ADAMTS2
SQSTM1	SQSTM1
GFPT2	GFPT2
SCGB3A1	SCGB3A1
FLT4	FLT4
TRIM7	TRIM7
IRF4	IRF4
STMND1	STMND1
NHLRC1	NHLRC1
DEK	DEK
RNF144B	RNF144B
ID4	ID4
SOX4	SOX4
NBAT1	NBAT1
C6orf62	C6orf62
GMNN	GMNN
CARMIL1	CARMIL1
