Gene	Symbol
SLC50A1	SLC50A1
DPM3	DPM3
KRTCAP2	KRTCAP2
TRIM46	TRIM46
MUC1	MUC1
THBS3	THBS3
MTX1	MTX1
GBA	GBA1
FAM189B	ENTREP3
SCAMP3	SCAMP3
CLK2	CLK2
HCN3	HCN3
PKLR	PKLR
FDPS	FDPS
RUSC1-AS1	RUSC1-AS1
RUSC1	RUSC1
ASH1L	ASH1L
ASH1L-IT1	ASH1L-IT1
ASH1L-AS1	ASH1L-AS1
MSTO1	MSTO1
YY1AP1	YY1AP1
DAP3	DAP3
GON4L	GON4L
SYT11	SYT11
RIT1	RIT1
KHDC4	KHDC4
RXFP4	RXFP4
ARHGEF2	ARHGEF2
SSR2	SSR2
UBQLN4	UBQLN4
LAMTOR2	LAMTOR2
RAB25	RAB25
MEX3A	MEX3A
LMNA	LMNA
SEMA4A	SEMA4A
SLC25A44	SLC25A44
PMF1	PMF1
BGLAP	BGLAP
PAQR6	PAQR6
SMG5	SMG5
TMEM79	TMEM79
GLMP	GLMP
VHLL	VHLL
CCT3	CCT3
TSACC	TSACC
RHBG	RHBG
C1orf61	MIR9-1HG
MEF2D	MEF2D
IQGAP3	IQGAP3
TTC24	TTC24
NAXE	NAXE
GPATCH4	GPATCH4
HAPLN2	HAPLN2
BCAN	BCAN
AL590666.2	BCAN-AS2
NES	NES
CRABP2	CRABP2
ISG20L2	ISG20L2
RRNAD1	METTL25B
MRPL24	MRPL24
HDGF	HDGF
PRCC	PRCC
SH2D2A	SH2D2A
NTRK1	NTRK1
INSRR	INSRR
PEAR1	PEAR1
LRRC71	LRRC71
ARHGEF11	ARHGEF11
ETV3L	ETV3L
ETV3	ETV3
LINC02772	LINC02772
FCRL5	FCRL5
FCRL4	FCRL4
FCRL3	FCRL3
FCRL2	FCRL2
FCRL1	FCRL1
CD5L	CD5L
KIRREL1	KIRREL1
KIRREL1-IT1	KIRREL1-IT1
LINC01704	LINC01704
CD1D	CD1D
CD1A	CD1A
CD1C	CD1C
CD1B	CD1B
CD1E	CD1E
OR10T2	OR10T2
OR10K2	OR10K2
OR10K1	OR10K1
OR10R2	OR10R2
OR6Y1	OR6Y1
OR6P1	OR6P1
OR10X1	OR10X1
OR10Z1	OR10Z1
SPTA1	SPTA1
OR6K2	OR6K2
OR6K3	OR6K3
NECTIN4	NECTIN4
DCAF6	DCAF6
GPR161	GPR161
TIPRL	TIPRL
SFT2D2	SFT2D2
TBX19	TBX19
XCL2	XCL2
XCL1	XCL1
DPT	DPT
LINC00626	LINC00626
LINC00970	LINC00970
ATP1B1	ATP1B1
NME7	NME7
BLZF1	BLZF1
CCDC181	CCDC181
SLC19A2	SLC19A2
F5	F5
SELP	SELP
C1orf112	FIRRM
SELL	SELL
